LogP,SMILES,TPSA,formula,hbond_acceptors,hbond_donors,num_atoms,num_bonds,rotatable_bonds,weight
2.3428999999999993,Clc1ccc(cn1)C1CC2CCC1N2,24.92,C11H13ClN2,2.0,1.0,14.0,16.0,1.0,208.69199999999998
2.3428999999999993,Clc1ccc(cn1)C1CC2CCC1N2,24.92,C11H13ClN2,2.0,1.0,14.0,16.0,1.0,208.69199999999998
2.3972,OC(=O)c1cc(Cl)cc(Cl)c1O,57.53,C7H4Cl2O3,2.0,2.0,12.0,12.0,1.0,207.012
2.3972,OC(=O)c1cc(Cl)cc(Cl)c1O,57.53,C7H4Cl2O3,2.0,2.0,12.0,12.0,1.0,207.012
2.3972,OC(=O)c1cc(Cl)cc(Cl)c1O,57.53,C7H4Cl2O3,2.0,2.0,12.0,12.0,1.0,207.012
2.3972,OC(=O)c1cc(Cl)cc(Cl)c1O,57.53,C7H4Cl2O3,2.0,2.0,12.0,12.0,1.0,207.012
0.5015999999999998,OC(=O)c1cc(O)c(O)c(O)c1,97.99000000000001,C7H6O5,4.0,4.0,12.0,12.0,1.0,170.11999999999998
0.8222999999999998,C(Oc1cccnc1)[C@@H]1CCN1,34.15,C9H12N2O,3.0,1.0,12.0,13.0,3.0,164.20799999999997
0.8222999999999998,C(Oc1cccnc1)[C@@H]1CCN1,34.15,C9H12N2O,3.0,1.0,12.0,13.0,3.0,164.20799999999997
0.7764999999999996,NC(CCSCCCCC(O)=O)C(O)=O,100.62,C9H17NO4S,4.0,3.0,15.0,14.0,9.0,235.30499999999998
0.5015999999999998,OC(=O)c1cc(O)c(O)c(O)c1,97.99000000000001,C7H6O5,4.0,4.0,12.0,12.0,1.0,170.11999999999998
-0.48919999999999964,OC(=O)C1CC(NC(=O)N1)C=S,78.43,C6H8N2O3S,3.0,3.0,12.0,12.0,2.0,188.20800000000003
3.3306000000000013,O=C(Nc1ccccc1)Nc1ccccc1,41.13,C13H12N2O,1.0,2.0,16.0,17.0,2.0,212.25199999999998
-0.7369000000000001,N[C@@H](CCC(O)=O)C(O)=O,100.62,C5H9NO4,3.0,3.0,10.0,9.0,4.0,147.13
1.6981000000000002,NC(=O)c1c(N)sc2CCCCCc12,69.11,C10H14N2OS,3.0,2.0,14.0,15.0,1.0,210.30199999999994
-1.1254000000000004,C[n+]1cccc(c1)C([O-])=O,44.01,C7H7NO2,2.0,0.0,10.0,10.0,1.0,137.13799999999998
-0.10880000000000029,NC1=N[C@@H](CC(O)=O)CS1,75.68,C5H8N2O2S,4.0,2.0,10.0,10.0,2.0,160.19799999999998
-1.6627999999999987,C[N+](C)(C)NCCC([O-])=O,52.16,C6H14N2O2,3.0,1.0,10.0,9.0,4.0,146.19
-1.6503999999999994,COC(=O)[C@@H](N)CCB(O)O,92.78,C5H12BNO4,5.0,3.0,11.0,10.0,4.0,160.96600000000004
3.134800000000002,Clc1ccc(cc1)C#Cc1cccnc1,12.89,C13H8ClN,1.0,0.0,15.0,16.0,0.0,213.667
2.4194000000000004,Oc1ccccc(-c2ccccc2)c1=O,37.3,C13H10O2,2.0,1.0,15.0,16.0,1.0,198.221
